Prefix,Gap Start,Gap End,Missing Count
EDC,EDC0000016,EDC0000070,55
EDC,EDC0000072,EDC0000072,1
EDC,EDC0000074,EDC0000077,4
EDC,EDC0000079,EDC0000127,49
EDC,EDC0000129,EDC0000651,523
EDC,EDC0000653,EDC0000685,33
EDC,EDC0000687,EDC0000827,141
EDC,EDC0000829,EDC0001082,254
EDC,EDC0001084,EDC0001103,20
EDC,EDC0001105,EDC0001143,39
EDC,EDC0001145,EDC0001357,213
EDC,EDC0001359,EDC0001620,262
EDC,EDC0001622,EDC0001702,81
EDC,EDC0001704,EDC0001731,28
EDC,EDC0001733,EDC0001751,19
EDC,EDC0001753,EDC0002495,743
EDC,EDC0002498,EDC0002498,1
EDC,EDC0002510,EDC0002510,1
EDC,EDC0002517,EDC0002517,1
EDC,EDC0002532,EDC0002533,2
EDC,EDC0002540,EDC0002540,1
EDC,EDC0002543,EDC0002544,2
EDC,EDC0002549,EDC0002549,1
EDC,EDC0002555,EDC0002559,5
EDC,EDC0002563,EDC0002563,1
EDC,EDC0002575,EDC0002576,2
EDC,EDC0002588,EDC0002588,1
EDC,EDC0002593,EDC0002593,1
EDC,EDC0002607,EDC0002607,1
EDC,EDC0002639,EDC0002639,1
EDC,EDC0002662,EDC0002663,2
EDC,EDC0002665,EDC0002665,1
EDC,EDC0002668,EDC0002669,2
EDC,EDC0002679,EDC0002683,5
EDC,EDC0002700,EDC0002700,1
EDC,EDC0002708,EDC0002709,2
EDC,EDC0002711,EDC0002712,2
EDC,EDC0002715,EDC0002721,7
EDC,EDC0002741,EDC0002741,1
EDC,EDC0002752,EDC0002752,1
EDC,EDC0002754,EDC0002754,1
EDC,EDC0002756,EDC0002756,1
EDC,EDC0002819,EDC0002819,1
EDC,EDC0002828,EDC0002828,1
EDC,EDC0002848,EDC0002848,1
EDC,EDC0002876,EDC0002876,1
EDC,EDC0002883,EDC0002883,1
EDC,EDC0002885,EDC0002885,1
EDC,EDC0002897,EDC0002898,2
EDC,EDC0002901,EDC0002901,1
EDC,EDC0002905,EDC0002905,1
EDC,EDC0002915,EDC0002916,2
EDC,EDC0002919,EDC0002919,1
EDC,EDC0002947,EDC0002947,1
EDC,EDC0002964,EDC0002965,2
EDC,EDC0002967,EDC0002968,2
EDC,EDC0002984,EDC0002986,3
EDC,EDC0003004,EDC0003004,1
EDC,EDC0003022,EDC0003022,1
EDC,EDC0003029,EDC0003029,1
EDC,EDC0003066,EDC0003066,1
EDC,EDC0003068,EDC0003068,1
EDC,EDC0003079,EDC0003079,1
EDC,EDC0003082,EDC0003082,1
EDC,EDC0003131,EDC0003132,2
EDC,EDC0003157,EDC0003157,1
EDC,EDC0003161,EDC0003162,2
EDC,EDC0003182,EDC0003183,2
EDC,EDC0003197,EDC0003197,1
EDC,EDC0003226,EDC0003226,1
EDC,EDC0003232,EDC0003232,1
EDC,EDC0003240,EDC0003242,3
EDC,EDC0003246,EDC0003246,1
EDC,EDC0003267,EDC0003268,2
EDC,EDC0003270,EDC0003272,3
EDC,EDC0003274,EDC0003274,1
EDC,EDC0003276,EDC0003276,1
EDC,EDC0003281,EDC0003281,1
EDC,EDC0003283,EDC0003283,1
EDC,EDC0003285,EDC0003286,2
EDC,EDC0003294,EDC0003294,1
EDC,EDC0003341,EDC0003341,1
EDC,EDC0003350,EDC0003350,1
EDC,EDC0003362,EDC0003362,1
EDC,EDC0003373,EDC0003374,2
EDC,EDC0003378,EDC0003379,2
EDC,EDC0003412,EDC0003412,1
EDC,EDC0003506,EDC0003506,1
EDC,EDC0003537,EDC0003537,1
EDC,EDC0003574,EDC0003574,1
EDC,EDC0003576,EDC0003576,1
EDC,EDC0003578,EDC0003578,1
EDC,EDC0003585,EDC0003586,2
EDC,EDC0003591,EDC0003591,1
EDC,EDC0003595,EDC0003596,2
EDC,EDC0003598,EDC0003613,16
EDC,EDC0003644,EDC0003645,2
EDC,EDC0003661,EDC0003661,1
EDC,EDC0003697,EDC0003698,2
EDC,EDC0003741,EDC0003742,2
EDC,EDC0003754,EDC0003754,1
EDC,EDC0003758,EDC0003758,1
EDC,EDC0003760,EDC0003761,2
