"Destination Field","Source File Column"
"All Custodians","All Custodians (18)"
"All Paths/Locations","All Paths (27)"
"Production Type","Application (49)"
"Author","Author (44)"
"Control Number BegDoc","Bates&#47;Control # (1)"
"Entity BCC","Bcc (29)"
"Control Number BegAttach","Begin Family (19)"
"Email CC","Cc (8)"
"RSMF_ConversationGroupID","Chat Conversation Id (20)"
"Conversation Index","Chat Conversation Index (15)"
"Custodian","Custodian (40)"
"Date","Date (38)"
"Created Date/Time","Date Created (48)"
"Last Modified Date","Date Modified (16)"
"Last Printed Date/Time","Date Printed (28)"
"Email Received Date/Time","Date Received (51)"
"Last Saved Date/Time","Date Saved (50)"
"Email Sent Date/Time","Date Sent (24)"
"File Type","Document Type (12)"
"Encrypted","Encrypted (14)"
"Control Number EndDoc","End Bates&#47;Control # (2)"
"Meeting End Date/Time","End Date (43)"
"End Family Date","End Family (30)"
"File Extension","Extension (39)"
"Group Identifier","Family (45)"
"Sort Date/Time","Family Date (7)"
"Document Folder Path","File Path (46)"
"File Name","Filename (34)"
"Email From","From (36)"
"GPS Latitude","GPS Latitude (10)"
"GPS Longitude","GPS Longitude (33)"
"Has Hidden Data","Hidden Content (17)"
"Email In Reply To ID","In Reply To (47)"
"MD5 Hash","MD5 Hash (32)"
"Message ID","Message Id (26)"
"Message Type","Mime Type (22)"
"Native File","NativePath (4)"
"Page Range","Pages (3)"
"Logical Parent ID","Parent Id (13)"
"Placeholder","Placeholder (9)"
"Produced From","Produced From (31)"
"Produced To","Produced To (6)"
"SHA1 Hash","SHA1 Hash (42)"
"Speaker Notes","Speaker Notes (41)"
"Meeting Start Date","Start Date (21)"
"Email Subject","Subject (37)"
"Tags","Tags (25)"
"Extracted Text","TextPath (5)"
"Title","Title (35)"
"Email To","To (23)"
"Track Changes","Track Changes (11)"
