Source,NewField
Attachment Count,Number of Attachments
Attachment Names,Attachment List
Attorney Comments,.Attorney Review Comments
Author From,Author
BCCRecipientNames,Email BCC
BEGATT ,Control Number BegAttach
BEGDOC ,Control Number BegDoc
CalendarDateTime,Meeting Start Date/Time
CameraType ,CameraType
CCRecipientNames,Email CC
Confidentiality,.Confidential
Custodian,Custodian
Custodian All,All Custodians
Date Created,Created Date/Time
Date Created Date,Created Date
Date Created Time,Created Time
Date Last Access,Last Accessed Date/Time
Date Last Access Date,Last Accessed Date
Date Last Access Time,Last Accessed Time
Date Last Printed,Last Printed Date/Time
Date Last Printed Date ,Last Printed Date
Date Last Printed Time ,Last Printed Time
Date last saved,Last Saved Date/Time
Date Modified,Last Modified Date/Time
Date Modified Date ,Last Modified Date
Date Modified Time ,Last Modified Time
Date&#47;TimeDigitized ,Date/Time Digitized
Date&#47;TimeOriginal,Date/Time Original
Devicemodel,Device Model
DigitalDateCreated ,Digital Date Created
DigitalTimeCreated ,Digital Time Created
DisplayDate,Display Date
DOCUMENTDATE,DOCUMENTDATE
Email BCC,Email BCC (SMTP Address)
Email Body Contains Tables ,Email Body Contains Tables
Email CC,Email CC (SMTP Address)
Email Conversation Index,Conversation Index
Email Conversation Topic,Email Conversation Topic
Email Domains,Email Domains
Email Entry ID ,Email Entry ID
Email Folder,Email Folder Path
Email From ,Email From
Email Message ID,Message ID
Email Read Status,Email Read Status
Email Received ,Email Received Date/Time
Email Received Date,Email Received Date
Email Received Time,Email Received Time
Email Sent ,Email Sent Date/Time
Email Sent Date,Email Sent Date
Email Sent Time,Email Sent Time
Email SentOnBehalfOf,Email Sent On Behalf Of
Email Store Name,Container name
Email Subject,Email Subject
Email To,Email To
Email Type ,Record Type
Embedded Document,Contains Embedded Files
ENDATT ,Control Number EndAttach
ENDDOC ,Control Number EndDoc
Excel Comments ,Excel Comments
Excel Hidden Columns,Excel Hidden Columns
Excel Hidden Rows,Excel Hidden Rows
Excel Hidden Worksheets,Excel Hidden Worksheets
Excel Pivot Table in Worksheet,Excel Pivot Tables
Excel Protected Workbook,Excel Protected Workbook
Excel Protected Worksheet,Excel Protected Worksheet
Excel Very Hidden Worksheets,Excel Very Hidden Worksheets
Extracted Text Size,Extracted Text Size in KB
File Category,File Category
File Date,Primary Date/Time_DOC LEVEL
File Extension ,File Extension
File Family Date,Sort Date/Time
File Name,File Name
File Path All,File Path All
File Path Relative ,File Path Relative
File Path Source,Source Path
File Size,File Size
File Type,File Type
Foreign Language,Foreign Language
Google.Documents.DocumentId,Google.Documents.DocumentId
Google.Documents.RevisionId,Google.Documents.RevisionId
Hidden Content ,Has Hidden Data
Inline Images,Inline Images
Is Inline Image,Is Inline Image
Languages Identified,Docs_Languages
Last Saved By,Last Saved By
MD5 Hash,MD5 Hash
Paralegal Comments ,Paralegal Comments
Parent Attachment,Parent Attachment
PDF Comments,PDF Comments
PowerPoint Hidden Slides,PowerPoint Hidden Slides
PowerPoint Speaker Notes,Speaker Notes
Privilege Description,.Privilege Description
PROD BEGATT,PROD BegAttach
PROD BEGDOC,PROD BegDoc
PROD ENDATT,PROD EndAttach
PROD ENDDOC,PROD EndDoc
PROD VOLUME,Volume ID
RecipientNames ,Recipient Names
Redacted,.Redaction Required
Review Volume,Review Volume
SenderName ,Email Sender Name
SHA1 Hash,Child SHA1 Hash Values
TG - Admin ,TG - Admin
TG - Confidentiality,TG - Confidentiality
TG - Hot Document,TG - Hot Document
TG - Privileged Reason ,TG - Privileged Reason
TG - Privileged Status ,TG - Privileged Status
TG - Responsiveness,TG - Responsiveness
Title Subject,Document Subject
Word Comments,Word Comments
Word Hidden Text,Word Hidden Text
Word Revisions ,Word Revisions
