Source Field,Relativity Field Type,Max Length,Sample Data
BEGDOC,Fixed-length Text,93,SC-VIMASCO-SHIPMAN-000001                    Exhibit  A Table of Asbestos-Containing Products
BEGATT,Fixed-length Text,93,SC-VIMASCO-SHIPMAN-000001                    Exhibit  A Table of Asbestos-Containing Products
ProductionTextPath,Fixed-length Text,139,\MIG_Covil_Prods_Native_Only_001\Text\046\SC-VIMASCO-SHIPMAN-000001                    Exhibit  A Table of Asbestos-Containing Products.txt
ProductionNativePath,Fixed-length Text,141,\MIG_Covil_Prods_Native_Only_001\Native\046\SC-VIMASCO-SHIPMAN-000001                    Exhibit  A Table of Asbestos-Containing Products.pdf
ApplicationName,Fixed-length Text,0,""
Attachment Count,Whole Number,2,48
Attachment Names,Long Text,1716,"Huggins (AIG) Payne & Keller Coverage Ltr.pdf; Brandywine ACE Tender Letter 2022-06-01 IL - D.pdf; image003.jpg; Diaz, Rodolfo - IL.pdf; Resolute Mgmt Tender Letter 2022-06-01 IL - Di.pdf; David Wilson Asbestos Litigation.pdf; image006.jpg; 11-07-18 ..."
AttachmentRange,Fixed-length Text,0,""
Attorney Comments,Long Text,1938,"legal document - deposition; Dunean Silk Mill, Starke General Hospital, Hunter Air Force Base, Marine Base Parris Island, Douglas Aircraft, Juice Plant in Leesburg FL, Shipyards in Houston, Butadiene Plants (synthetic rubber), Power plant in Glasgow ..."
Author From,Fixed-length Text,51,"Casillas, Deanna (Allianz Resolution Management US)"
Coding Agner Report Description,Fixed-length Text,0,""
Coding Author From,Fixed-length Text,0,""
Coding Bailey Report Description,Fixed-length Text,0,""
Coding Brock Report Description,Fixed-length Text,0,""
Coding Carpenter Report Description,Fixed-length Text,0,""
Coding Cooper Report Description,Fixed-length Text,0,""
Coding Covil Involvement,Fixed-length Text,0,""
Coding D'Amico Report Description,Fixed-length Text,0,""
Coding Date,Fixed-length Text,0,""
Coding Doc Type,Fixed-length Text,0,""
Coding Document Description,Fixed-length Text,0,""
Coding Efird Report Description,Fixed-length Text,0,""
